,county,price,house_type,house_address
148,carlow,75000, Detached House,"Blindennis, Hacketstown, Co. Carlow"
149,carlow,345000, Detached House,"The Crescent, Castleoaks, Dublin Road, Carlow Town, Co. Carlow"
150,carlow,1375000, Detached House,"Milford House on 50 Acres, Milford, Carlow Town, Co. Carlow"
151,carlow,315000, Detached House,"Rathvarrin, Tullow, Co. Carlow"
152,carlow,1375000, Detached House,"Milford House, Milford, Carlow Town, Co. Carlow"
153,carlow,285000, Detached House,"59 The Meadows, Bullock Park, Green Road, Carlow, Carlow Town, Co. Carlow"
154,carlow,895000, Semi-Detached House,"Barrowville Town House, Kilkenny Road, Carlow, Carlow Town, Co. Carlow"
155,carlow,300000, Detached House,"Bruach Na Habhann, Killeen, Ballickmoyler, Co. Carlow"
156,carlow,119000, Terraced House,"2 Mill Street, Tullow, Co. Carlow"
157,carlow,349500, Detached House,"San Giovanni, Killeshin Road, Carlow Town, Co. Carlow"
158,carlow,268000, Townhouse,"9 Mount Wolseley Court, Tullow, Co. Carlow"
159,carlow,295000, Detached House,"Leaney, Ardattin, Tullow, Co. Carlow"
160,carlow,140000, Detached House,"Killerig Lodges, Killerig, Co. Carlow"
161,carlow,145000, Semi-Detached House,"58 St. Mary's Park, Carlow Town, Co. Carlow"
162,carlow,175000, Semi-Detached House,"14 Anglers Walk, Carlow Town, Co. Carlow"
163,carlow,230000, Detached House,"2A Station Road, Tullow, Co. Carlow"
164,carlow,172500, Semi-Detached House,"1 Heather Hill Sq. Graiguecullen, Carlow Town, Co. Carlow"
165,carlow,239000, Detached House,"86 Park Gate, Shillelagh Road, Tullow, Co. Carlow"
166,carlow,290000, Detached House,"Type M, Milford Park, Ballinabranagh, Milford, Carlow Town, Co. Carlow"
167,carlow,274000, Detached House,"Type A, Rathillion, Killeshin, Killeshin, Co. Carlow"
168,carlow,274000, Detached House,"Ballykilmurray, Hacketstown, Co. Carlow"
169,carlow,207000, Semi-Detached House,"House Type B NO.109, Cluain Buí, Quinagh, Carlow, Carlow Town, Co. Carlow"
170,carlow,239000, Semi-Detached House,"Castle Oaks, Dublin Road, Carlow Town, Co. Carlow"
171,carlow,170000, Terraced House,"10 Wolseley Park, Mount Wolseley, Tullow, Co. Carlow"
172,carlow,275000, Detached House,"10 The Orchards, Tullow Road, Carlow Town, Co. Carlow"
173,carlow,290000, Detached House,"Grinawn, Station Road, Bagenalstown, Co. Carlow"
174,carlow,270000, Detached House,"Bauck Hill, St Mullins, St. Mullins, Co. Carlow"
175,carlow,239000, Semi-Detached House,"The Heaney, Castle Oaks, Dublin Road, Carlow Town, Co. Carlow"
176,carlow,330000, Detached House,"The Yeats, Castle Oaks, Dublin Road, Carlow Town, Co. Carlow"
177,carlow,450000, Detached House,"Clarence Court, Link Road, Browneshill, Carlow Town, Co. Carlow"
178,carlow,475000, Detached House,"""Dun-Roven"" Haroldstown, Tullow, Co. Carlow"
179,carlow,1100000, Detached House,"Erindale House, Kilkenny Road, Carlow Town, Co. Carlow"
180,carlow,239000, Detached House,"Kilmona, Monaughrim Cross, Clonegal, Co. Carlow"
181,carlow,70000, Detached House,"Newtown, Crettyard, Carlow Town, Co. Carlow"
182,carlow,240000, Detached House,"1 Lacken Rise, Tullow Rd, Carlow Town, Co. Carlow"
183,cavan,165000, Detached House,"Crubany, Cavan, Co. Cavan"
184,cavan,57000, Detached House,"Redhills Village, Redhills, Co. Cavan"
185,cavan,215000, Detached House,"the Green, Kilnaleck, Co. Cavan"
186,cavan,110000, Terraced House,"20 Church Street, Cootehill, Co. Cavan"
187,cavan,229000, Semi-Detached House,"River Crescent, Cavan Road, Virginia, Co. Cavan"
188,cavan,105000, Semi-Detached House,"21 Bothar Bui, Ballyconnell, Co. Cavan"
189,cavan,165000, Semi-Detached House,"61 Cluain Aoibhinn, Swellan, Cavan, Co. Cavan"
190,cavan,239000, Detached House,"Leiter, Bailieborough, Co. Cavan"
191,cavan,99000, Semi-Detached House,"6 Shrewsbury Park, Belturbet, Co. Cavan"
192,cavan,175000, Semi-Detached House,"Carraig Beag,Cootehill Road, Cavan, Co. Cavan"
193,cavan,179000, Semi-Detached House,"6 Ard Na Laoi, Cavan, Co. Cavan"
194,cavan,169000, Semi-Detached House,"7 Derryoaks, Ballyconnell, Co. Cavan"
195,cavan,120000, Semi-Detached House,"9 Mullach Mor, Mullagh, Co. Cavan"
196,cavan,400000, Detached House,"Cookill, Kilnaleck, Co. Cavan"
197,cavan,160000, Detached House,"34 The Willows, Kilmore, Ballyjamesduff, Co. Cavan"
